key,source,url,srcid,shell,z_cross,z_best,logM,phot_flux_radius,eqw_hb,phot_restV,phi_ratio,l3_kpc,l3_l2,flag
srcid_0020133_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0020133_Shell_C.png,20133.0,Shell_C,6.0,3.478450927768945,10.734344143740183,2.02,0.0,0.8572137,0.587,0.955,0.351,
srcid_0020572_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0020572_Shell_C.png,20572.0,Shell_C,6.0,2.207401,10.705938745623115,9.33,-2753.7397,0.24405794,-0.2706,4.975,1.83,
srcid_0020910_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0020910_Shell_C.png,20910.0,Shell_C,6.0,3.7196774,10.471694684920624,2.04,92.171005,0.4330043,0.6901,0.941,0.346,
srcid_0024913_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0024913_Shell_C.png,24913.0,Shell_C,6.0,2.68466,10.71171716592105,9.16,66.567085,1.774266,0.0894,4.691,1.725,
srcid_0025712_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0025712_Shell_C.png,25712.0,Shell_C,6.0,3.8917933,11.090386053260094,10.01,91.42155,0.95962,0.7512,4.534,1.668,
srcid_0027114_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0027114_Shell_C.png,27114.0,Shell_C,6.0,5.1957436,10.443957811822873,2.13,292.2178,0.124506235,0.9773,0.845,0.311,
srcid_0029492_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0029492_Shell_C.png,29492.0,Shell_C,6.0,2.3150604,11.183943102317999,8.33,-29.750433,1.5051682,-0.1941,4.405,1.62,
srcid_0033685_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0033685_Shell_C.png,33685.0,Shell_C,6.0,2.59592815,11.160334275610358,9.94,-51.775173,0.9066076,0.0213,5.132,1.887,
srcid_0033768_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0033768_Shell_C.png,33768.0,Shell_C,6.0,2.332054,10.975623492763301,8.53,,1.8652673,-0.1815,4.505,1.657,
srcid_0037445_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0037445_Shell_C.png,37445.0,Shell_C,6.0,2.44724,10.765734360693509,9.51,19.942062,1.0326042,-0.0939,4.975,1.83,
srcid_0038096_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0038096_Shell_C.png,38096.0,Shell_C,6.0,3.7984464,10.584009812146123,9.96,,0.9515633,0.7193,4.555,1.675,
srcid_0040579_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0040579_Shell_C.png,40579.0,Shell_C,6.0,3.10670795,11.239091789889908,2.0,515.3184,1.9569957,0.3837,0.983,0.361,
srcid_0041599_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0041599_Shell_C.png,41599.0,Shell_C,6.0,2.303933633333333,11.30796328251055,8.67,,6.129331,-0.2023,4.589,1.688,
